ddec-code,VF,Metal_density(g/cm^3),density_g_cm3,PLD,LCD,vsa_m2_cm3,gsa_m2_g,PoreVolum_cm3_g,Qst_CO,Qst_N2,Delta_Qst,CO_des,N2_des,CO_40bar,N2_40bar,CO_200K,N2_200K,CO_PTSA,N2_PTSA,S_PSA,S_TSA,S_TSA+,Delta_PSA,Delta_TSA-,Delta_TSA+,Regenerability_PSA,Regenerability_TSA-,Regenerability_TSA+,Recovery_PSA,Recovery_TSA-,Recovery_TSA+,Purity_PSA,Purity_TSA-,Purity_TSA+,Cyclic_working_cap_PSA,Cyclic_working_cap_TSA-,Cyclic_work_cap_TSA+,URL
QUBZIX,0.63,0.134582808,0.64,6.81,7.96,2314.72,3632.98,0.99,16.09,13.29,2.8,0.48,0.2,5.59,2.36,5.1,1.36,12.9,3.79,2.37,3.74,2.39,5.12,4.62,0.38,91.49,90.66,79.98,0.65,0.73,0.52,0.572290011,0.65965013,0.618008721,7.08541426,4.834859518,0.344021823,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QUBZIX
RAFGAI,0.77,0.154734342,0.68,9.19,17.94,1871.3,2767.23,1.14,15.46,13.05,2.41,0.39,0.19,5.62,2.5,3.88,1.24,14.63,3.73,2.25,3.13,2.04,5.22,3.49,0.31,93.03,89.9,78.68,0.56,0.58,0.46,0.572998994,0.619770355,0.5676566,6.378810954,2.933251766,0.249400498,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAFGAI
RAHNOF,0.82,0.130025935,0.59,6.59,19.05,2080.12,3496.87,1.38,14.17,11.24,2.92,0.41,0.18,6.41,2.79,4.54,1.27,15.69,4.46,2.3,3.59,2.26,6,4.13,0.32,93.6,90.96,77.3,0.61,0.53,0.47,0.618411493,0.504863696,0.604552093,7.773036453,3.507253514,0.261819956,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAHNOF
REWLEM,0.76,0.092007323,0.7,5.92,12.47,2051.74,2930.48,1.08,14.48,12.84,1.64,0.42,0.23,5.17,2.6,4.27,1.7,11.82,4.16,1.99,2.52,1.83,4.75,3.85,0.32,91.97,90.27,77.79,0.63,0.67,0.49,0.635692489,0.703706316,0.585926563,6.641565293,4.243509524,0.294204151,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REWLEM
RICBEM,0.84,0.054323863,0.4,8.61,11.37,2301.68,5765.99,2.09,9.34,8.12,1.22,0.18,0.12,5.22,3.26,1.41,0.76,18.94,8.64,1.6,1.86,1.48,5.04,1.23,0.13,96.5,87,69.09,0.54,0.47,0.36,0.554368665,0.501242009,0.538839,7.703914305,1.508627803,0.122491328,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RICBEM
RUVKAV,0.81,0.152528912,0.6,7.15,11.95,2163.77,3596.2,1.35,14.03,11.13,2.9,0.36,0.16,6.39,2.79,3.68,1.09,16.61,4.65,2.29,3.38,2.19,6.03,3.33,0.28,94.37,90.24,76.67,0.54,0.57,0.42,0.546112065,0.60873415,0.543136383,4.687390516,1.655549031,0.159869339,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVKAV
SEMNEF,0.92,0.037702842,0.24,12.94,30.85,1433.43,6042.36,3.89,15.13,9.67,5.46,0.39,0.16,5.57,2.83,3.14,0.81,17.68,8.37,1.97,3.86,2.43,5.19,2.75,0.3,93.07,87.71,78.74,0.53,0.65,0.42,0.516098696,0.615619151,0.578419763,9.648828016,2.638525703,0.264589543,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEMNEF
SEMNIJ,0.93,0.031234511,0.22,13.58,31.61,1374.27,6186.85,4.17,12.41,8.52,3.89,0.32,0.14,5.46,2.94,2.83,0.8,17.73,8.63,1.86,3.52,2.18,5.14,2.51,0.24,94.22,88.84,75.93,0.6,0.68,0.4,0.605891746,0.746204006,0.567765151,10.85687836,2.421544528,0.222013615,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEMNIJ
SEQTIT,0.6,0.130224919,0.77,6.93,9.69,1802.68,2334.27,0.77,18.02,14.99,3.02,0.51,0.22,4.68,2.07,4.3,1.31,10.16,3.05,2.27,3.28,2.3,4.17,3.79,0.42,89.03,88.07,81.91,0.51,0.63,0.5,0.5480709,0.740656026,0.609070494,2.436742011,1.665455247,0.316646099,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEQTIT
SODPIM,0.59,0.210645735,0.9,4.07,5.69,1723.39,1913.75,0.65,16.75,14.34,2.41,0.57,0.22,5.68,1.94,6.62,1.61,11.39,2.08,2.93,4.11,2.58,5.11,6.04,0.47,89.95,91.37,82,0.77,0.85,0.58,0.752970822,0.849889069,0.669012291,7.149802589,6.493872796,0.423391598,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SODPIM
SOVLEW,0.78,0.15800886,0.74,6.69,16.81,1883.59,2538.88,1.06,15.54,12.79,2.75,0.48,0.21,5.91,2.42,5.39,1.48,13.33,3.23,2.44,3.64,2.29,5.43,4.9,0.39,91.81,91.01,79.89,0.62,0.68,0.51,0.619504479,0.71336226,0.62128433,6.737072915,4.629746837,0.326834848,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOVLEW
SUKYIH,0.76,0.122993943,0.6,7.09,9.65,2333.55,3892.23,1.28,13.41,11.53,1.88,0.33,0.18,5.85,2.92,3.11,1.21,15.36,4.65,2.01,2.57,1.8,5.52,2.78,0.25,94.33,89.32,75.37,0.58,0.64,0.45,0.594356338,0.677244405,0.566857299,7.182729296,3.09854025,0.21705239,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUKYIH
SUKYON,0.8,0.072428199,0.53,7.28,10.77,2685.28,5100.05,1.52,11.76,10.37,1.39,0.3,0.18,6.35,3.6,3.15,1.49,17.04,6.45,1.76,2.12,1.64,6.05,2.85,0.22,95.25,90.43,73.9,0.56,0.6,0.44,0.576299732,0.637160254,0.55694882,8.166812743,3.187800331,0.209824294,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUKYON
SUNLAP,0.89,0.039298616,0.29,14.88,16.05,1613.48,5575.84,3.07,9.35,7.78,1.57,0.18,0.12,4.77,2.88,1.55,0.74,17.58,8.38,1.65,2.1,1.57,4.59,1.37,0.13,96.13,88.13,70.99,0.54,0.54,0.35,0.549083743,0.599092643,0.531848701,8.578798993,1.359684765,0.130476138,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUNLAP
SUPMEW,0.41,0.190322517,1.08,4.56,7.16,998.04,926,0.38,20.3,17.8,2.49,0.84,0.3,3.54,1.01,4.64,0.91,5.94,0.79,3.5,5.1,2.81,2.7,3.8,0.71,76.36,81.98,85.09,0.31,0.71,0.42,0.329478578,0.910046045,0.526382405,1.530355632,2.023223338,0.35255871,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUPMEW
SUPQAW,0.84,0.088804609,0.53,6.8,12.04,2450.7,4592.69,1.57,11.29,9.52,1.77,0.25,0.15,5.72,3.2,2.66,1.08,16.68,6.25,1.79,2.47,1.67,5.46,2.41,0.19,95.55,90.45,72.78,0.57,0.62,0.41,0.577250399,0.661603237,0.551157536,7.61841585,2.57727573,0.164015004,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUPQAW
TIJPEJ,0.43,0.274238094,1.06,4.14,6.3,1144.07,1074.67,0.41,19.94,15.78,4.16,0.46,0.13,3.83,1.07,4.89,0.81,8.88,1.14,3.58,6.05,3.6,3.37,4.42,0.4,87.88,90.49,85.25,0.81,0.84,0.41,0.803061625,0.712893503,0.622978573,4.508705038,4.37408736,0.174805928,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIJPEJ
TOFTIT,0.84,0.113716869,0.58,6.95,20.18,2100.38,3633.1,1.45,13.99,11.15,2.84,0.38,0.18,6.22,2.88,4.17,1.24,15.63,5.03,2.16,3.36,2.07,5.84,3.79,0.29,93.87,90.86,77.27,0.6,0.71,0.41,0.599505973,0.750496865,0.559353065,7.637980453,4.321587704,0.202556247,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TOFTIT
TOPKAL,0.72,0.188500338,0.81,6.07,9.54,2288.65,2829.73,0.88,14.88,12.42,2.46,0.5,0.22,6.22,2.37,6.17,1.63,12.84,2.64,2.62,3.78,2.32,5.72,5.67,0.4,91.92,91.86,78.91,0.63,0.78,0.49,0.640505029,0.81278177,0.613094753,6.942224562,5.796210858,0.328477589,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TOPKAL
TOPKEP,0.66,0.200899258,0.86,5.81,9.41,1987.67,2305.93,0.76,17.41,14.44,2.97,0.54,0.21,5.52,2,5.56,1.33,10.91,2.23,2.76,4.18,2.53,4.98,5.02,0.44,90.2,90.29,82.28,0.59,0.62,0.48,0.644767453,0.648681143,0.610531755,4.7907853,4.001257746,0.31043272,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TOPKEP
TOPKIT,0.67,0.193311016,0.96,5.09,8.34,2107.15,2200.35,0.7,17.6,15.11,2.48,0.88,0.34,6.24,2,7.7,1.66,11.03,1.72,3.13,4.64,2.57,5.36,6.82,0.73,85.86,88.54,82.7,0.76,0.85,0.5,0.714416522,0.566889095,0.624236435,7.271765114,6.156138181,0.541508625,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TOPKIT
UCOCUM,0.75,0.278211277,0.88,6.57,13.18,1893.53,2145.13,0.85,18.78,15.54,3.24,0.78,0.25,6.97,1.98,7,1.3,13.97,1.81,3.53,5.4,3.07,6.19,6.23,0.64,88.86,88.92,82,0.58,0.82,0.37,0.613721016,0.699075995,0.573471121,4.632934759,6.318591552,0.272963825,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UCOCUM
UGOCAW,0.82,0.233502051,0.67,7.62,17.46,2065.49,3092.22,1.22,13.48,10.6,2.88,0.4,0.15,7.36,2.45,5.05,1.13,17.58,3.12,3,4.45,2.62,6.96,4.65,0.3,94.56,92.07,76.18,0.67,0.89,0.37,0.654839022,0.913752576,0.565270906,8.811516676,7.598104059,0.177343591,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGOCAW
UGOCEA,0.82,0.228557101,0.65,7.86,18.88,2076.13,3192.75,1.26,13.81,10.89,2.92,0.43,0.17,7.59,2.55,5.51,1.22,18.01,3.24,2.98,4.5,2.57,7.17,5.08,0.33,94.38,92.26,76.25,0.67,0.89,0.37,0.651928342,0.905325939,0.563653121,9.001045524,7.786791853,0.192860498,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGOCEA
UKUQAT,0.56,0.306645079,1.1,5.24,6.88,1377.76,1254.13,0.51,19.95,17.25,2.69,0.97,0.31,4.95,1.17,6.42,1,8.18,0.64,4.24,6.44,3.08,3.98,5.45,0.81,80.44,84.92,83.61,0.61,0.72,0.4,0.604283318,0.574729551,0.563158932,3.581164263,3.091362589,0.382403401,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UKUQAT
UKUQEX,0.52,0.318172137,1.14,4.99,6.83,1279.1,1122.15,0.45,20.52,17.75,2.77,0.99,0.31,4.74,1.07,6.31,0.9,8.15,0.53,4.42,7,3.23,3.75,5.32,0.83,79.1,84.29,84.08,0.52,0.83,0.4,0.558106533,0.887740185,0.564105615,3.388415857,3.358590684,0.382289806,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UKUQEX
UVEVUN,0.75,0.168305414,0.77,6.54,13.08,1970.18,2572.05,0.97,15.08,12.68,2.4,0.46,0.21,5.73,2.4,5.42,1.55,12.63,3.05,2.38,3.49,2.18,5.27,4.96,0.37,91.92,91.46,79.09,0.65,0.77,0.45,0.667794638,0.695332048,0.586381065,6.911016337,5.585772709,0.269524609,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UVEVUN
VETMIS,0.88,0.038195868,0.31,11.95,17.26,1791.05,5741.29,2.82,8.64,7.43,1.21,0.17,0.12,4.77,3.06,1.19,0.65,18.71,9.51,1.56,1.84,1.44,4.6,1.03,0.12,96.48,85.94,68.71,0.5,0.6,0.32,0.512911025,0.660156538,0.515572477,7.329714007,1.616213069,0.105751839,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VETMIS
VIGHUQ,0.69,0.087782045,0.59,14.54,15.52,1816.27,3094.3,1.18,13.35,11.34,2.01,0.26,0.14,4.14,2.11,3.19,1.16,10.28,3.72,1.96,2.74,1.81,3.89,2.93,0.2,93.77,91.9,76.39,0.41,0.06,0.24,0.430864172,0.071085026,0.371208942,2.256793047,0.108422687,0.048548286,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIGHUQ
VIXPUP,0.8,0.164561453,0.7,6.91,10.93,2233.17,3197.75,1.14,14.92,12.04,2.89,0.41,0.19,6.3,2.61,4.4,1.26,14.82,3.69,2.41,3.5,2.19,5.88,3.99,0.32,93.45,90.62,77.87,0.6,0.69,0.44,0.615561821,0.722426619,0.579596481,7.029878295,4.326394178,0.232444034,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIXPUP
VIXPUP01,0.8,0.162755787,0.69,6.9,10.95,2211.4,3201.71,1.15,14.44,11.75,2.69,0.4,0.18,6.27,2.69,4.28,1.28,15.01,3.86,2.33,3.34,2.15,5.87,3.88,0.31,93.7,90.76,77.91,0.69,0.64,0.45,0.707986816,0.674538691,0.593749106,7.916232466,3.900056532,0.230600221,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIXPUP01
VOGPEO,0.76,0.162561551,0.77,7.01,11.06,1979.64,2580.6,0.99,16.27,13.61,2.65,0.54,0.24,6.21,2.45,5.81,1.6,13.41,3.09,2.54,3.63,2.3,5.67,5.27,0.43,91.25,90.64,79.68,0.59,0.68,0.47,0.606103406,0.725502377,0.593722783,6.555424829,4.918401252,0.326189957,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VOGPEO
VORHER,0.62,0.194771618,0.99,6.71,12.85,1178.76,1193.53,0.62,16.72,14.22,2.5,0.48,0.21,4.31,1.54,4.71,1.19,8.51,1.56,2.8,3.96,2.28,3.83,4.24,0.39,88.87,89.83,81.46,0.67,0.78,0.5,0.688543597,0.659721855,0.617845705,4.876010277,4.320484067,0.306324821,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VORHER
VUJBIM,0.83,0.129245447,0.56,6.63,18.72,2093.47,3733.4,1.48,14.36,11.17,3.19,0.4,0.18,6.32,2.77,4.15,1.15,16.31,4.85,2.29,3.59,2.22,5.93,3.75,0.31,93.74,90.45,77.22,0.73,0.7,0.42,0.729468282,0.683716088,0.576752331,8.984751344,4.204818173,0.21867244,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VUJBIM
WAMREJ,0.81,0.103460404,0.58,10.49,15.94,2058.69,3579.12,1.41,12.42,10.89,1.53,0.31,0.18,5.53,2.86,3.06,1.29,15.32,5.11,1.93,2.37,1.74,5.21,2.75,0.23,94.33,89.76,74.74,0.57,0.63,0.42,0.574257387,0.669738247,0.553942671,6.891076618,2.969303182,0.191980453,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAMREJ
WULJUJ,0.75,0.277621995,0.88,6.7,13.26,1859.02,2110.51,0.85,18.44,15.35,3.08,0.67,0.23,6.64,1.95,6.61,1.26,13.96,1.77,3.4,5.26,2.85,5.97,5.94,0.54,89.93,89.89,81.19,0.8,0.8,0.43,0.794989467,0.724255886,0.615144041,8.195998451,6.184125145,0.288467915,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WULJUJ
WULKAQ,0.74,0.277211118,0.88,6.68,13.25,1867.94,2123.77,0.85,18.48,15.38,3.1,0.67,0.23,6.66,1.96,6.5,1.27,13.85,1.84,3.39,5.12,2.95,5.99,5.84,0.54,90,89.77,81.35,0.66,0.77,0.46,0.677625914,0.780319353,0.609972282,6.989233273,5.592854541,0.343870606,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WULKAQ
XAFFOB,0.86,0.059211572,0.37,13.17,14.84,1909.57,5203.32,2.35,9.29,7.83,1.46,0.18,0.11,5.06,3,1.44,0.67,18.39,8.34,1.69,2.15,1.59,4.88,1.26,0.13,96.42,87.41,69.14,0.56,0.57,0.37,0.569774325,0.627894039,0.53869072,8.18081272,1.367450728,0.125147851,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAFFOB
XAFFUH,0.88,0.053108728,0.33,19.64,23.73,1710.29,5195.83,2.68,9.64,7.94,1.7,0.2,0.12,5.21,2.97,1.75,0.77,17.66,7.79,1.75,2.27,1.63,5,1.55,0.14,96.09,88.38,69.79,0.63,0.57,0.37,0.64464925,0.604490004,0.543830097,9.195720883,1.759408478,0.140097882,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAFFUH
XAHPAZ,0.71,0.144540634,0.72,7.41,8.57,2212.21,3080.51,0.99,13.79,11.51,2.28,0.34,0.16,5.35,2.33,4.17,1.3,12.27,3.3,2.29,3.21,2.06,5.01,3.84,0.26,93.68,91.9,76.55,0.61,0.71,0.49,0.62570865,0.707589456,0.599862493,6.43819405,3.958651608,0.238608018,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAHPAZ
XAHPED,0.85,0.063819453,0.37,10.87,12.37,1919.39,5126.04,2.26,9.8,8.08,1.72,0.19,0.11,5,2.86,1.66,0.72,17.98,7.74,1.75,2.31,1.67,4.8,1.47,0.14,96.16,88.43,71.11,0.56,0.58,0.38,0.566917521,0.638103302,0.544531806,7.87449061,1.519973873,0.129712605,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAHPED
XAHPIH,0.88,0.065840178,0.36,13.36,14.29,1656.44,4650.51,2.47,9.79,7.86,1.93,0.2,0.11,5.14,2.83,1.72,0.7,18.51,7.92,1.82,2.44,1.71,4.95,1.52,0.14,96.2,88.63,70.81,0.64,0.59,0.38,0.653944459,0.636084047,0.547051162,8.801652436,1.649515492,0.132602404,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAHPIH
XAHPON,0.9,0.04060227,0.28,15.33,17.29,1497.93,5269.5,3.16,9.39,7.75,1.65,0.19,0.12,4.88,2.92,1.6,0.74,17.96,8.59,1.67,2.16,1.63,4.69,1.41,0.14,96.06,87.99,70.85,0.56,0.52,0.35,0.565707622,0.569228494,0.540369091,8.843960337,1.452793194,0.130925123,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAHPON
XAHPUT,0.93,0.02183551,0.18,20.59,21.83,1128.65,6316.71,5.2,6.95,5.88,1.07,0.15,0.1,4.41,2.84,0.97,0.53,17.74,9.44,1.56,1.82,1.47,4.27,0.82,0.1,96.63,84.65,67.49,0.52,0.48,0.3,0.52860877,0.565725615,0.517135632,10.77418626,0.978011004,0.123467249,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAHPUT
XAHQAA,0.94,0.021836295,0.17,21.61,23.04,1058.27,6209.46,5.51,6.88,5.76,1.13,0.15,0.11,4.51,2.94,1,0.53,18.59,9.76,1.54,1.88,1.41,4.36,0.85,0.1,96.72,85.21,67.02,0.52,0.47,0.3,0.531112421,0.549724514,0.516557844,11.39300599,1.018270395,0.127996633,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XAHQAA
XALXUF,0.77,0.187190541,0.79,6.62,16.34,1726.96,2190.13,0.97,15.99,13.19,2.8,0.5,0.21,5.77,2.19,5.55,1.42,12.63,2.81,2.64,3.91,2.34,5.27,5.05,0.4,91.38,91.04,80.49,0.28,0.02,0.15,0.30616598,0.020387022,0.231440652,1.389068236,0.051797293,0.030887792,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XALXUF
XALXUF01,0.76,0.185962433,0.78,6.67,16.56,1726.04,2203.42,0.97,16.1,13.26,2.84,0.51,0.21,5.92,2.26,5.72,1.44,13.17,2.88,2.62,3.97,2.38,5.42,5.21,0.41,91.46,91.16,80.55,0.51,0.75,0.52,0.572005648,0.627320515,0.632051724,4.803899145,5.924137528,0.331338866,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XALXUF01
XOFXOH,0.34,0.361922196,1.03,4.4,5.71,1337.18,1292.64,0.33,16.81,13.84,2.97,0.37,0.12,3.51,0.93,4.02,0.68,6.96,0.76,3.78,5.91,3.01,3.14,3.65,0.3,89.43,90.78,80.95,0.64,0.79,0.58,0.657272327,0.825284694,0.677116689,3.447009161,3.167095178,0.264553,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XOFXOH
XOGQOB,0.89,0.104342186,0.58,9.78,20.33,1859.47,3218.22,1.54,12.03,10.25,1.79,0.27,0.16,5.56,2.79,2.94,1.14,15.77,5.05,1.99,2.59,1.71,5.29,2.67,0.2,95.15,90.85,74.24,0.57,0.62,0.43,0.582796754,0.658689982,0.563835924,6.991066508,2.650880726,0.179515979,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XOGQOB
XOPLOE,0.56,0.19699445,0.99,5.33,7.5,1851.59,1867.95,0.57,17.68,14.53,3.16,0.55,0.2,4.32,1.55,4.87,1.19,7.8,1.54,2.79,4.1,2.72,3.77,4.32,0.45,87.28,88.72,81.7,0.75,0.85,0.58,0.656667115,0.623562817,0.650294058,5.702569711,5.005125223,0.393769882,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XOPLOE
XOVPUU,0.86,0.062945353,0.4,9.78,11.46,2023.57,4996.98,2.13,9.2,7.89,1.31,0.17,0.11,5.01,3.05,1.35,0.68,18.81,8.45,1.64,1.98,1.53,4.84,1.18,0.12,96.53,87.17,69.85,0.6,0.28,0.35,0.613459955,0.293029076,0.553641131,8.045489653,1.520557404,0.109653584,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XOVPUU
XOVQAB,0.78,0.066750009,0.51,8.45,11.57,2164.05,4248.88,1.54,10.71,9.2,1.51,0.19,0.12,4.71,2.74,1.78,0.81,15.36,6.32,1.72,2.2,1.65,4.52,1.59,0.14,95.95,89.3,72.24,0.56,0.59,0.4,0.568464552,0.637730744,0.547589535,6.667635827,1.711672977,0.12796285,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XOVQAB
XUDNUH,0.82,0.087986186,0.49,6.85,12.36,2287.92,4644.07,1.66,11.14,9.5,1.65,0.24,0.14,5.45,2.99,2.28,1,16.86,6.28,1.82,2.28,1.7,5.21,2.04,0.17,95.65,89.6,73.15,0.62,0.6,0.41,0.62297483,0.630283096,0.552982934,8.09569282,2.351696298,0.162184092,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XUDNUH
XUDPOD,0.82,0.086561212,0.48,6.92,12.8,2235.22,4611.78,1.69,11.03,9.38,1.65,0.24,0.14,5.47,2.97,2.27,0.97,16.79,6.45,1.84,2.34,1.71,5.23,2.04,0.17,95.68,89.61,72.96,0.55,0.57,0.41,0.564527513,0.610182658,0.546154585,7.029317525,2.123077558,0.159364648,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XUDPOD
YEKXUJ,0.6,0.187171474,0.94,6.86,7.55,1829.02,1954.2,0.64,15.11,12.73,2.38,0.41,0.18,4.55,1.67,4.94,1.31,8.22,1.68,2.72,3.76,2.28,4.14,4.53,0.32,91.08,91.79,79.05,0.61,0.73,0.54,0.627692226,0.767549109,0.632088449,4.905863825,4.107299409,0.305459694,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEKXUJ
YIXBIQ,0.88,0.125529355,1.17,8.61,16.15,1698.28,1453.99,0.76,12.89,10.62,2.27,0.19,0.1,3.54,1.63,2.64,0.84,8.04,2.35,2.17,3.12,1.97,3.35,2.45,0.14,94.64,92.8,75.78,0.6,0.6,0.49,0.595996272,0.637602281,0.60607683,4.795139943,2.614799236,0.175921444,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YIXBIQ
YUCFAF,0.56,0.102074677,0.82,6.01,8.27,1539.91,1872.47,0.68,15.46,13.68,1.79,0.36,0.2,3.89,1.93,3.92,1.46,8.44,2.47,2.02,2.68,1.79,3.54,3.56,0.28,90.83,90.89,79.45,0.45,0.13,0.32,0.475577392,0.13867681,0.422297746,2.16536885,0.345712954,0.100481303,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YUCFAF
YUGLES,0.79,0.191177614,0.72,6.78,10.91,2195.6,3057.92,1.09,14.48,11.74,2.73,0.44,0.19,6.73,2.59,5.15,1.4,15.26,3.24,2.6,3.67,2.31,6.29,4.71,0.34,93.44,91.41,77.42,0.63,0.76,0.45,0.625314116,0.794318887,0.591361654,7.722385197,5.40794527,0.259446682,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YUGLES
ZAWQAR,0.21,0.147104551,1.28,3.88,4.56,381.42,297.35,0.16,23.64,21.49,2.14,0.54,0.24,1.34,0.51,1.86,0.44,2.26,0.3,2.64,4.19,2.22,0.8,1.32,0.46,59.76,70.99,85.8,0.54,0.53,0.62,0.529410708,0.593951432,0.631840595,1.21925522,0.779033465,0.468121324,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWQAR
ZIKJIO,0.69,0.173825463,0.78,5.59,7.1,2175.19,2778.14,0.89,15.21,13.01,2.2,0.54,0.24,6.66,2.5,7.31,1.93,13.12,2.61,2.67,3.79,2.25,6.12,6.77,0.43,91.94,92.66,80.02,0.44,0.44,0.38,0.481090085,0.483262955,0.529578335,3.251856994,2.934267508,0.224643072,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZIKJIO
ZIKJOU,0.52,0.215306074,0.97,3.96,5.82,1205.32,1242.84,0.54,19.27,16.67,2.6,0.76,0.29,5.48,1.73,7.13,1.46,10.25,1.4,3.17,4.88,2.58,4.72,6.37,0.65,86.12,89.33,84.81,0.63,0.8,0.53,0.625840859,0.842039747,0.632509526,5.288169922,5.265299793,0.505376351,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZIKJOU
ZOFDUV,0.75,0.278001986,0.88,6.63,13.16,1884.74,2136.78,0.86,18.55,15.36,3.18,0.74,0.25,6.88,2,6.92,1.33,13.9,1.85,3.44,5.22,2.95,6.14,6.18,0.61,89.25,89.31,81.94,0.82,0.84,0.54,0.815379697,0.861954416,0.691417403,8.384103874,6.803338271,0.445409534,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZOFDUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=nan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=nan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=nan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=nan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=nan